name,real.town.name
SOUTHFORD,SOUTHBURY
SOUTHINGTON,SOUTHINGTON
SOUTHPORT,FAIRFIELD
SPRAGUE,SPRAGUE
SPRING GLEN,HAMDEN
SPRING HILL,MANSFIELD
SPRINGDALE,STAMFORD
ST HARTFRD,HARTFORD
STAFFORD,STAFFORD
STAFFORD SPGS,STAFFORD
STAFFORD SPRING,STAFFORD
STAFFORD SPRINGS,STAFFORD
STAFFORDVILLE,STAFFORD
STAMFORD,STAMFORD
STANFORD,STAMFORD
STANWICH,GREENWICH
STEPNEY,MONROE
STERLING,STERLING
STERLING HILL,STERLING
STETSON CORNER,BROOKLYN
STEVENSON,MONROE
STILL RIVER,NEW MILFORD
STILLMANS CORNER,SOUTHINGTON
STMAFORD,STAMFORD
STONINGTON,STONINGTON
STONY CREEK,BRANFORD
STORRIS,MANSFIELD
STORRS,MANSFIELD
STORRS MANFLD,MANSFIELD
STORRS MANSFIELD,MANSFIELD
STORRS-MANSFIELD,MANSFIELD
STORRS/MANSFIELD,MANSFIELD
STRAITSVILLE,NAUGATUCK
STRATFIELD,FAIRFIELD
STRATFORD,STRATFORD
STRLING,STERLING
SUBMARINE BASE,GROTON
SUFFIELD,SUFFIELD
SUNNYSIDE,SHELTON
TA'AGAN POINT,DANBURY
TACONIC,SALISBURY
TAFTSVILLE,NORWICH
TAFTVILLE,NORWICH
TALCOTTVILLE,VERNON
TALMADGE HILL,NEW CANAAN
TARIFFVILLE,SIMSBURY
TAYLOR CORNERS,NEW FAIRFIELD
TERMINAL,NEW HAVEN
TERRYVILLE,PLYMOUTH
THAMESVILLE,NORWICH
THE CEDARS,SALISBURY
THOMASTON,THOMASTON
THOMPSON,THOMPSON
THOMPSONVILLE,ENFIELD
TITICUS,RIDGEFIELD
TOILSOME HILL,BRIDGEPORT
TOKENEKE,DARIEN
TOLLAND,TOLLAND
TOLLES,PLYMOUTH
TONNINGTON,TORRINGTON
TOPSTONE,REDDING
TORRINGFORD,TORRINGTON
TORRINGTON,TORRINGTON
TOTOKET,NORTH BRANFORD
TOWANTIC,OXFORD
TOWN PLOT HILL,WATERBURY
TRACY,WALLINGFORD
TRUMBALL,TRUMBULL
TRUMBULL,TRUMBULL
TUNXIS HILL,FAIRFIELD
TURN OF RIVER,STAMFORD
TWIN LAKES,SALISBURY
TYLER CITY,ORANGE
TYLER LAKE HEIGHTS,GOSHEN
TYLERVILLE,HADDAM
UNCASVILLE,MONTVILLE
UNION,UNION
UNION CITY,NAUGATUCK
UNIONVILLE,FARMINGTON
UNITY PLAZA,HARTFORD
UPPER MERRYALL,NEW MILFORD
UPPER STEPNEY,MONROE
VERNON,VERNON
VERNON CENTER,VERNON
VERNON ROCKVILLE,VERNON
VERNON ROCKVL,VERNON
VERSAILLES,LISBON
VILLAGE HILL,LEBANON
VOLUNTOWN,VOLUNTOWN
W CORNWALL,CORNWALL
W GRANBY,GRANBY
W HARTFORD,WEST HARTFORD
W HARTFORT,WEST HARTFORD
W HAVEN,WEST HAVEN
W REDDING,REDDING
W SIMSBURY,SIMSBURY
W SUFFIELD,SUFFIELD
W. CORNWALL,CORNWALL
W. GRANBY,GRANBY
W. HARTFORD,WEST HARTFORD
W. HAVEN,WEST HAVEN
W. REDDING,REDDING
W. SIMSBURY,SIMSBURY
W. SUFFIELD,SUFFIELD
WALLIGFORD,WALLINGFORD
WALLINGFORD,WALLINGFORD
WALNUT BEACH,MILFORD
WAPPING,SOUTH WINDSOR
WAREHOUSE POINT,EAST WINDSOR
WARREN,WARREN
WARRENVILLE,ASHFORD
WASHIGHTON,WASHINGTON
WASHINGTON,WASHINGTON
WASHINGTON DEPOT,WASHINGTON
WASHINGTON DT,WASHINGTON
WATERBRUY,WATERBURY
WATERBURY,WATERBURY
WATERFORD,WATERFORD
WATERTOWN,WATERTOWN
WATERVILLE,WATERBURY
WAUREGAN,PLAINFIELD
WAUREGAN STATION,PLAINFIELD
WEATHERSFIELD,WETHERSFIELD
WEATOGUE,SIMSBURY
WELLES VILLAGE,GLASTONBURY
WELLSVILLE,NEW MILFORD
WENTOGUE,SIMSBURY
WEQUETEQUOCK,STONINGTON
WESLEYAN,MIDDLETOWN
WESPORT,WESTPORT
WEST,WESTBROOK
WEST ASHFORD,ASHFORD
WEST AVON,AVON
WEST CHESHIRE,CHESHIRE
WEST CHESTER,WEST HARTFORD
WEST CORNWALL,CORNWALL
WEST GOSHEN,GOSHEN
WEST GRANBY,GRANBY
WEST HADDAM,HADDAM
WEST HARTFORD,WEST HARTFORD
WEST HARTFPRD,WEST HARTFORD
WEST HARTFRD,WEST HARTFORD
WEST HARTLAND,HARTLAND
WEST HAVEN,WEST HAVEN
WEST HAVERFORD,WEST HARTFORD
WEST HTFD,WEST HARTFORD
WEST MORRIS,LITCHFIELD
WEST MYSTIC,GROTON
WEST NORFOLK,NORFOLK
WEST NORWALK,NORWALK
WEST REDDING,REDDING
WEST SHORE,WEST HAVEN
WEST SIDE HILL,WATERBURY
WEST SIMSBURY,SIMSBURY
WEST STAFFORD,STAFFORD
WEST SUFFIELD,SUFFIELD
WEST SUNBURY,SIMSBURY
WEST THOMPSON,THOMPSON
WEST TORRINGTON,TORRINGTON
WEST WAUREGAN,PLAINFIELD
WEST WILLINGTON,WILLINGTON
WEST WOODSTOCK,WOODSTOCK
WESTBROOK,WESTBROOK
WESTCHESTER,COLCHESTER
WESTFIELD,MIDDLETOWN
WESTFORD,ASHFORD
WESTMINSTER,CANTERBURY
WESTON,WESTON
WESTPORT,WESTPORT
WESTVIEW HEIGHTS,MIDDLEBURY
WESTVILLE,NEW HAVEN
WETHERFIELD,WETHERSFIELD
WETHERSFIELD,WETHERSFIELD
WETHERSIFIELD,WETHERSFIELD
WHIGVILLE,BURLINGTON
WHITE OAKS,SOUTHBURY
WHITE SANDS BEACH,OLD LYME
WHITNEYVILLE,HAMDEN
WILDERMERE BEACH,MILFORD
WILFORD,CORNWALL
WILLIMANTIC,WINDHAM
WILLINGTON,WILLINGTON
WILLINGTON HILL,WILLINGTON
WILLMANTIC,WINDHAM
WILSON,WINDSOR
WILSON'S POINT,NORWALK
WILSONVILLE,THOMPSON
WILTON,WILTON
WINCHESTER,WINCHESTER
WINCHESTER CENTER,WINCHESTER
WINCHESTR CTR,WINCHESTER
WINDEMERE VILLAGE,ELLINGTON
WINDHAM,WINDHAM
WINDSOR,WINDSOR
WINDSOR LOCKS,WINDSOR LOCKS
WINDSOR LOKS,WINDSOR LOCKS
WINDSORVILLE,EAST WINDSOR
WINNIPAUK,NORWALK
WINSTED,WINCHESTER
WINTHROP,DEEP RIVER
WITON,WILTON
WLLIMANTIC,WINDHAM
WOLCOTT,WOLCOTT
WOLEOTT,WOLCOTT
WOODBRIDGE,WOODBRIDGE
WOODBURY,WOODBURY
WOODMONT,MILFORD
WOODSTOCK,WOODSTOCK
WOODSTOCK VALLEY,WOODSTOCK
WOODSTOCK VLY,WOODSTOCK
WOODTICK,WOLCOTT
WOODVILLE,WASHINGTON
WORMWOOD HILL,MANSFIELD
WRIGHTVILLE,TORRINGTON
WTHERSFIELD,WETHERSIFIELD
YALE,NEW HAVEN
YALESVILLE,WALLINGFORD
YANTIC,NORWICH
ZOAR BRIDGE,OXFORD
NIANTIC,EAST LYME
E  HARTFORD,EAST HARTFORD
CHAPEL HILL,PLANTSVILLE
EAST LITCHFIELD,LITCHFIELD
EAST REDDING,REDDING
GROSVENORDALE,THOMPSON
MIDDLETOWN HQ,MIDDLETOWN
N GROSVENORDALE,THOMPSON
N. GROSVENORDALE,THOMPSON
NORTH HAMPTON,HAMPTON
NORTH SUFFIELD,SUFFIELD
OXFORD CENTER,OXFORD
REDDING CENTER,REDDING
WINDHAM CENTER,WINDHAM
