event,jd,magnitude,magnitude error,upper limit,band,instrument,telescope
SN1995ac,2449992.67,17.19,0.02,f,R,EFOSC1,ESO 3.6m 
SN1995ac,2449992.67,17.26,0.02,f,V,EFOSC1,ESO 3.6m 
SN1995ac,2450004.64,17.93,0.15,f,B,EFOSC1,ESO 3.6m 
SN1995ac,2450004.64,17.79,0.15,f,I,EFOSC1,ESO 3.6m 
SN1995ac,2450004.64,17.5,0.06,f,R,EFOSC1,ESO 3.6m 
SN1995ac,2450004.64,17.53,0.06,f,V,EFOSC1,ESO 3.6m 
SN1995ac,2450035.67,20.25,0.08,f,B,EMMI,NTT 
SN1995ac,2450035.67,18.47,0.07,f,I,EMMI,NTT 
SN1995ac,2450035.67,18.59,0.06,f,R,EMMI,NTT 
SN1995ac,2450035.67,19.19,0.07,f,V,EMMI,NTT 
SN1995ac,2450243.83,23.49,,t,B,EFOSC1,ESO 3.6m 
SN1995ac,2450243.83,22.79,0.2,f,V,EFOSC1,ESO 3.6m 
SN1995bd,2450100.67,18.19,0.01,f,B,EFOSC2,MPG/ESO 2.2m 
SN1995bd,2450100.67,17.12,0.01,f,V,EFOSC2,MPG/ESO 2.2m 
SN1995D,2449768.78,13.39,0.01,f,B,DFOSC,Danish 1.54m 
SN1995D,2449768.78,13.68,0.03,f,I,DFOSC,Danish 1.54m 
SN1995D,2449768.78,13.47,0.02,f,R,DFOSC,Danish 1.54m 
SN1995D,2449768.78,13.44,0.01,f,V,DFOSC,Danish 1.54m 
SN1995D,2449776.3,13.75,0.01,f,R,EMMI,NTT 
SN1995D,2449776.3,13.64,0.01,f,V,EMMI,NTT 
SN1995D,2449806.59,15.24,0.01,f,V,EFOSC1,ESO 3.6m 
SN1995D,2449827.68,16.74,0.12,f,B,DFOSC,Danish 1.54m 
SN1995D,2449827.68,15.59,0.1,f,I,DFOSC,Danish 1.54m 
SN1995D,2449827.68,15.64,0.1,f,R,DFOSC,Danish 1.54m 
SN1995D,2449827.68,15.82,0.1,f,V,DFOSC,Danish 1.54m 
SN1995D,2449831.67,16.8,0.12,f,B,,Dutch 0.91m
SN1995D,2449831.67,15.71,0.1,f,I,,Dutch 0.91m
SN1995D,2449831.67,15.93,0.1,f,R,,Dutch 0.91m
SN1995D,2449831.67,15.97,0.11,f,V,,Dutch 0.91m
SN1995D,2449867.67,17.4,0.06,f,B,EMMI,NTT 
SN1995D,2449867.67,17.1,0.05,f,I,EMMI,NTT 
SN1995D,2449867.67,16.88,0.04,f,R,EMMI,NTT 
SN1995D,2449867.67,16.87,0.06,f,V,EMMI,NTT 
SN1995D,2450044.62,19.86,0.15,f,B,AFOSC,Asiago 1.82m 
SN1995D,2450044.62,20.13,0.1,f,V,AFOSC,Asiago 1.82m 
SN1995D,2450045.58,19.65,0.14,f,B,AFOSC,Asiago 1.82m 
SN1995D,2450077.85,20.08,0.1,f,B,EFOSC2,MPG/ESO 2.2m 
SN1995D,2450077.85,20.48,0.1,f,V,EFOSC2,MPG/ESO 2.2m 
SN1995D,2450101.67,20.79,0.22,f,B,,Dutch 0.91m
SN1995D,2450101.67,21.1,0.2,f,I,,Dutch 0.91m
SN1995D,2450101.67,21.69,0.15,f,R,,Dutch 0.91m
SN1995D,2450101.67,20.84,0.12,f,V,,Dutch 0.91m
SN1995D,2450114.67,21.11,0.09,f,B,DFOSC,Danish 1.54m 
SN1995D,2450114.67,21.32,0.08,f,V,DFOSC,Danish 1.54m 
SN1995D,2450114.67,21.5,0.08,f,V,DFOSC,Danish 1.54m 
SN1995D,2450128.56,21.13,0.2,f,B,AFOSC,Asiago 1.82m 
SN1995D,2450128.56,21.24,0.2,f,V,AFOSC,Asiago 1.82m 
SN1995D,2450129.57,21.24,0.2,f,V,AFOSC,Asiago 1.82m 
SN1995D,2450129.6,22.26,0.3,f,R,AFOSC,Asiago 1.82m 
SN1995D,2450131.68,20.86,0.25,f,B,EFOSC2,MPG/ESO 2.2m 
SN1995D,2450131.68,22.12,0.1,f,R,EFOSC2,MPG/ESO 2.2m 
SN1995D,2450131.68,21.27,0.1,f,V,EFOSC2,MPG/ESO 2.2m 
SN1995D,2450134.67,21.31,0.3,f,B,,Dutch 0.91m
SN1995D,2450134.67,21.04,0.1,f,I,,Dutch 0.91m
SN1995D,2450134.67,22.15,0.2,f,R,,Dutch 0.91m
SN1995D,2450134.67,21.36,0.15,f,V,,Dutch 0.91m
SN1995D,2450192.67,22.16,0.5,f,B,,Dutch 0.91m
SN1995D,2450192.67,23.39,0.5,f,R,,Dutch 0.91m
SN1995D,2450192.67,22.3,0.22,f,V,,Dutch 0.91m
SN1995D,2450489.67,23,,t,V,EFOSC1,ESO 3.6m 
SN1996bo,2450380.65,16.33,0.03,f,B,,Dutch 0.91m
SN1996bo,2450380.65,15.79,0.03,f,R,,Dutch 0.91m
SN1996bo,2450380.65,16.05,0.03,f,V,,Dutch 0.91m
SN1996bo,2450406.64,17.81,0.08,f,B,,Dutch 0.91m
SN1996bo,2450406.64,16.09,0.04,f,I,,Dutch 0.91m
SN1996bo,2450406.64,16.21,0.03,f,R,,Dutch 0.91m
SN1996bo,2450406.64,18.46,0.08,f,U,,Dutch 0.91m
SN1996bo,2450406.64,16.6,0.04,f,V,,Dutch 0.91m
SN1997bp,2450547.49,14.19,0.02,f,B,AFOSC,Asiago 1.82m 
SN1997bp,2450547.49,13.91,0.02,f,R,AFOSC,Asiago 1.82m 
SN1997bp,2450547.49,14.02,0.02,f,V,AFOSC,Asiago 1.82m 
SN1997bp,2450555.73,14.47,0.04,f,B,,Dutch 0.91m
SN1997bp,2450555.73,14.47,0.03,f,I,,Dutch 0.91m
SN1997bp,2450555.73,13.99,0.03,f,R,,Dutch 0.91m
SN1997bp,2450555.73,14.92,0.04,f,U,,Dutch 0.91m
SN1997bp,2450555.73,14.01,0.03,f,V,,Dutch 0.91m
SN1997bp,2450556.68,14.54,0.04,f,B,,Dutch 0.91m
SN1997bp,2450556.68,14.5,0.03,f,I,,Dutch 0.91m
SN1997bp,2450556.68,14.01,0.03,f,R,,Dutch 0.91m
SN1997bp,2450556.68,15.06,0.04,f,U,,Dutch 0.91m
SN1997bp,2450556.68,14.01,0.03,f,V,,Dutch 0.91m
SN1997bp,2450557.65,14.64,0.05,f,B,,Dutch 0.91m
SN1997bp,2450557.65,14.62,0.03,f,I,,Dutch 0.91m
SN1997bp,2450557.65,14.12,0.03,f,R,,Dutch 0.91m
SN1997bp,2450557.65,15.1,0.05,f,U,,Dutch 0.91m
SN1997bp,2450557.65,14.12,0.03,f,V,,Dutch 0.91m
SN1997bp,2450565.74,15.47,0.05,f,B,,Dutch 0.91m
SN1997bp,2450565.74,14.81,0.03,f,I,,Dutch 0.91m
SN1997bp,2450565.74,14.43,0.03,f,R,,Dutch 0.91m
SN1997bp,2450565.74,16.06,0.06,f,U,,Dutch 0.91m
SN1997bp,2450565.74,14.58,0.03,f,V,,Dutch 0.91m
SN1997bp,2450581.67,16.93,0.01,f,B,EFOSC2,MPG/ESO 2.2m 
SN1997bp,2450581.67,14.59,0.01,f,I,EFOSC2,MPG/ESO 2.2m 
SN1997bp,2450581.67,14.93,0.01,f,R,EFOSC2,MPG/ESO 2.2m 
SN1997bp,2450581.67,15.43,0.01,f,V,EFOSC2,MPG/ESO 2.2m 
SN1997bp,2450815.88,20.11,0.14,f,B,,Dutch 0.91m
SN1997bp,2450815.88,20.44,0.09,f,I,,Dutch 0.91m
SN1997bp,2450815.88,20.79,0.09,f,R,,Dutch 0.91m
SN1997bp,2450815.88,20.07,0.08,f,V,,Dutch 0.91m
SN1997bp,2450846.81,20.66,0.15,f,B,EFOSC2,ESO 3.6m 
SN1997bp,2450846.81,20.65,0.1,f,V,EFOSC2,ESO 3.6m 
SN1997bp,2450898.75,21.85,0.2,f,R,,Dutch 0.91m
SN1997bp,2450962.64,22.17,0.2,f,B,EFOSC2,ESO 3.6m 
SN1997bp,2450962.64,22.16,0.15,f,V,EFOSC2,ESO 3.6m 
SN1997br,2450555.75,14.18,0.03,f,B,,Dutch 0.91m
SN1997br,2450555.75,13.65,0.03,f,I,,Dutch 0.91m
SN1997br,2450555.75,13.74,0.03,f,R,,Dutch 0.91m
SN1997br,2450555.75,13.58,0.03,f,U,,Dutch 0.91m
SN1997br,2450555.75,13.93,0.03,f,V,,Dutch 0.91m
SN1997br,2450557.66,14.13,0.03,f,B,,Dutch 0.91m
SN1997br,2450557.66,13.62,0.03,f,I,,Dutch 0.91m
SN1997br,2450557.66,13.7,0.03,f,R,,Dutch 0.91m
SN1997br,2450557.66,13.64,0.03,f,U,,Dutch 0.91m
SN1997br,2450557.66,13.87,0.03,f,V,,Dutch 0.91m
SN1997br,2450581.77,16.03,0.01,f,B,EFOSC2,MPG/ESO 2.2m 
SN1997br,2450581.77,14.25,0.01,f,R,EFOSC2,MPG/ESO 2.2m 
SN1997br,2450581.77,14.64,0.01,f,V,EFOSC2,MPG/ESO 2.2m 
SN1997br,2450670.38,17.24,0.05,f,R,DFOSC,Danish 1.54m 
SN1997br,2450894.79,21.26,0.18,f,B,DFOSC,Danish 1.54m 
SN1997br,2450894.79,21.63,0.17,f,R,DFOSC,Danish 1.54m 
SN1997br,2450894.79,21.06,0.15,f,V,DFOSC,Danish 1.54m 
SN1997br,2450962.67,21.94,0.2,f,B,EFOSC2,ESO 3.6m 
SN1997br,2450962.67,22.04,0.19,f,R,EFOSC2,ESO 3.6m 
SN1997br,2450962.67,21.82,0.15,f,V,EFOSC2,ESO 3.6m 
SN1999aa,2451254.67,16.51,0.06,f,B,,Dutch 0.91m
SN1999aa,2451254.67,15.86,0.04,f,I,,Dutch 0.91m
SN1999aa,2451254.67,15.66,0.03,f,R,,Dutch 0.91m
SN1999aa,2451254.67,16.86,0.07,f,U,,Dutch 0.91m
SN1999aa,2451254.67,15.76,0.02,f,V,,Dutch 0.91m
SN1999aa,2451255.57,16.61,0.06,f,B,,Dutch 0.91m
SN1999aa,2451255.57,15.84,0.04,f,I,,Dutch 0.91m
SN1999aa,2451255.57,15.67,0.03,f,R,,Dutch 0.91m
SN1999aa,2451255.57,16.91,0.07,f,U,,Dutch 0.91m
SN1999aa,2451255.57,15.8,0.03,f,V,,Dutch 0.91m
SN1999aa,2451281.46,17.98,0.05,f,B,EFOSC2,ESO 3.6m 
SN1999aa,2451281.46,16.73,0.05,f,I,EFOSC2,ESO 3.6m 
SN1999aa,2451281.46,16.8,0.04,f,R,EFOSC2,ESO 3.6m 
SN1999aa,2451281.46,18.27,0.05,f,U,EFOSC2,ESO 3.6m 
SN1999aa,2451281.46,17.1,0.04,f,V,EFOSC2,ESO 3.6m 
SN1999dk,2451415.67,15.06,0.05,f,B,DFOSC,Danish 1.54m 
SN1999dk,2451415.67,15.3,0.04,f,I,DFOSC,Danish 1.54m 
SN1999dk,2451415.67,14.92,0.04,f,R,DFOSC,Danish 1.54m 
SN1999dk,2451415.67,14.94,0.07,f,U,DFOSC,Danish 1.54m 
SN1999dk,2451415.67,14.93,0.04,f,V,DFOSC,Danish 1.54m 
SN1999dk,2451423.67,15.45,0.06,f,B,DFOSC,Danish 1.54m 
SN1999dk,2451423.67,15.78,0.05,f,I,DFOSC,Danish 1.54m 
SN1999dk,2451423.67,15.23,0.05,f,R,DFOSC,Danish 1.54m 
SN1999dk,2451423.67,15.62,0.07,f,U,DFOSC,Danish 1.54m 
SN1999dk,2451423.67,15.14,0.04,f,V,DFOSC,Danish 1.54m 
SN1999dk,2451426.67,15.82,0.07,f,B,DFOSC,Danish 1.54m 
SN1999dk,2451426.67,15.95,0.05,f,I,DFOSC,Danish 1.54m 
SN1999dk,2451426.67,15.49,0.05,f,R,DFOSC,Danish 1.54m 
SN1999dk,2451426.67,16.12,0.08,f,U,DFOSC,Danish 1.54m 
SN1999dk,2451426.67,15.38,0.04,f,V,DFOSC,Danish 1.54m 
SN1999dk,2451435.78,16.75,0.05,f,B,EFOSC2,ESO 3.6m 
SN1999dk,2451435.78,15.92,0.03,f,I,EFOSC2,ESO 3.6m 
SN1999dk,2451435.78,15.68,0.03,f,R,EFOSC2,ESO 3.6m 
SN1999dk,2451435.78,17.24,0.15,f,U,EFOSC2,ESO 3.6m 
SN1999dk,2451435.78,15.85,0.03,f,V,EFOSC2,ESO 3.6m 
SN1999dk,2451438.67,17.11,0.05,f,B,EFOSC2,ESO 3.6m 
SN1999dk,2451438.67,15.8,0.03,f,I,EFOSC2,ESO 3.6m 
SN1999dk,2451438.67,15.7,0.03,f,R,EFOSC2,ESO 3.6m 
SN1999dk,2451438.67,17.54,0.2,f,U,EFOSC2,ESO 3.6m 
SN1999dk,2451438.67,16.01,0.03,f,V,EFOSC2,ESO 3.6m 
SN1999dk,2451459.56,18.12,0.03,f,B,OIG,TNG 
SN1999dk,2451459.56,16.63,0.02,f,I,OIG,TNG 
SN1999dk,2451459.56,16.58,0.02,f,R,OIG,TNG 
SN1999dk,2451459.56,19.1,0.15,f,U,OIG,TNG 
SN1999dk,2451459.56,16.63,0.03,f,V,OIG,TNG 
SN2000cx,2451753.9,13.44,0.02,f,B,EMMI,NTT 
SN2000cx,2451753.9,13.77,0.02,f,I,EMMI,NTT 
SN2000cx,2451753.9,13.35,0.03,f,R,EMMI,NTT 
SN2000cx,2451753.9,13.24,0.03,f,V,EMMI,NTT 
SN2000cx,2451866.55,17.86,0.01,f,B,DFOSC,Danish 1.54m 
SN2000cx,2451866.55,18.21,0.02,f,I,DFOSC,Danish 1.54m 
SN2000cx,2451866.55,17.8,0.02,f,R,DFOSC,Danish 1.54m 
SN2000cx,2451866.55,18.31,0.02,f,U,DFOSC,Danish 1.54m 
SN2000cx,2451866.55,17.76,0.01,f,V,DFOSC,Danish 1.54m
